group_id,dataset,m,n,s,seed,method,UB,Time (s),SGap (%)
2,a5a,6414,123,10,26,PSS,0.3552450508018495,14.587437152862549,1.8325004896272454
2,a5a,6414,123,10,27,AGP,0.3550033034525639,1.5865437984466553,1.0443202173555892
2,a5a,6414,123,10,27,IHT,0.3724552254519142,3.8520290851593018,6.010248660615548
2,a5a,6414,123,10,27,PSS,0.35133321533432477,11.673081874847412,0.0
3,a5a,6414,123,20,23,AGP,0.3362347604962407,4.709686040878296,0.0
3,a5a,6414,123,20,23,IHT,0.3547139171139299,2.817786931991577,5.494274986749631
3,a5a,6414,123,20,23,PSS,0.34090089974849924,31.83012819290161,1.3873496885584968
3,a5a,6414,123,20,24,AGP,0.3366379722227383,1.0323760509490967,0.0
3,a5a,6414,123,20,24,IHT,0.3438699094320089,2.843458890914917,2.147645292728375
3,a5a,6414,123,20,24,PSS,0.3445061903679666,39.59240388870239,2.3365996098663357
3,a5a,6414,123,20,25,AGP,0.33751109021261616,4.642099857330322,0.0
3,a5a,6414,123,20,25,IHT,0.35453120085981854,2.863455057144165,5.041336360272906
3,a5a,6414,123,20,25,PSS,0.3413981376573784,36.98798394203186,1.1513387911263007
3,a5a,6414,123,20,26,AGP,0.33609239675205066,5.022267818450928,0.0
3,a5a,6414,123,20,26,IHT,0.35836690390393594,3.289443016052246,6.625523767663677
3,a5a,6414,123,20,26,PSS,0.3399996027203245,39.90466380119324,1.1621934362648512
3,a5a,6414,123,20,27,AGP,0.3399083785632594,2.5097219944000244,0.0
3,a5a,6414,123,20,27,IHT,0.35845371024137207,3.0207719802856445,5.454374905841408
3,a5a,6414,123,20,27,PSS,0.3405713298273605,37.76402306556702,0.19498086103126822
4,a6a,11220,123,5,23,AGP,0.37533786840535943,0.5109848976135254,0.0
4,a6a,11220,123,5,23,IHT,0.3825920298389349,5.1750359535217285,1.932186932657307
4,a6a,11220,123,5,23,PSS,0.38966684532994517,6.279928922653198,3.816604059000988
4,a6a,11220,123,5,24,AGP,0.37533786842077915,0.5880899429321289,1.0534630254712007
4,a6a,11220,123,5,24,IHT,0.38259716592886006,4.914872884750366,3.0073872670758828
4,a6a,11220,123,5,24,PSS,0.3714240004453361,8.000999927520752,0.0
4,a6a,11220,123,5,25,AGP,0.3924355158520943,0.813960075378418,3.6433272360992754
4,a6a,11220,123,5,25,IHT,0.5001776873460997,4.949876070022583,32.0910897603156
4,a6a,11220,123,5,25,PSS,0.37863689152983215,9.756690979003906,0.0
4,a6a,11220,123,5,26,AGP,0.37533786843141864,0.4169960021972656,1.0534498904869718
4,a6a,11220,123,5,26,IHT,0.5124355671665708,5.425534009933472,37.95488310796362
4,a6a,11220,123,5,26,PSS,0.3714240487467631,5.58379602432251,0.0
4,a6a,11220,123,5,27,AGP,0.37863674724132723,0.524648904800415,1.9413618061530746
4,a6a,11220,123,5,27,IHT,0.43212099764833733,5.74091911315918,16.33726439914277
4,a6a,11220,123,5,27,PSS,0.3714241198773814,9.998714923858643,0.0
5,a6a,11220,123,10,23,AGP,0.34989210243180535,4.159726858139038,0.05665888330216422
5,a6a,11220,123,10,23,IHT,0.38261932332449977,4.72008204460144,9.412802505705313
5,a6a,11220,123,10,23,PSS,0.3496939131067801,19.916500091552734,0.0
5,a6a,11220,123,10,24,AGP,0.34954925046048535,1.8499460220336914,0.0
5,a6a,11220,123,10,24,IHT,0.36497815669055966,5.500214099884033,4.41268105387172
5,a6a,11220,123,10,24,PSS,0.36655376654830174,19.969738960266113,4.8633068898107386
5,a6a,11220,123,10,25,AGP,0.3485044421846358,2.7455170154571533,0.0
5,a6a,11220,123,10,25,IHT,0.3606921167664284,5.635504961013794,3.496132896475681
5,a6a,11220,123,10,25,PSS,0.35580953105549595,15.47690486907959,2.0955237475118262
5,a6a,11220,123,10,26,AGP,0.3498920991774461,3.6103339195251465,0.0
5,a6a,11220,123,10,26,IHT,0.3785677661560591,5.917744874954224,8.193232660396252
5,a6a,11220,123,10,26,PSS,0.3587292940402415,24.548070907592773,2.524969816051454
5,a6a,11220,123,10,27,AGP,0.3555098864554001,2.9704930782318115,0.9814977201032576
5,a6a,11220,123,10,27,IHT,0.3785898628303165,5.503003120422363,7.535450999959443
5,a6a,11220,123,10,27,PSS,0.3520535078050301,20.060144901275635,0.0
6,a6a,11220,123,20,23,AGP,0.33713985600158297,5.251138925552368,0.0
6,a6a,11220,123,20,23,IHT,0.3524415528951727,5.425787925720215,4.537333479800178
6,a6a,11220,123,20,23,PSS,0.3418290788673656,59.68512296676636,1.3904711386665385
6,a6a,11220,123,20,24,AGP,0.33713773349155524,3.428027868270874,0.0
6,a6a,11220,123,20,24,IHT,0.34454928990968786,5.705705881118774,2.197724537345765
6,a6a,11220,123,20,24,PSS,0.3475317922309243,94.4572548866272,3.082116177141645
6,a6a,11220,123,20,25,AGP,0.33639796505292624,5.027469158172607,0.0
6,a6a,11220,123,20,25,IHT,0.3533546056802303,5.363120079040527,5.039151016748952
6,a6a,11220,123,20,25,PSS,0.33990581204563575,69.93413305282593,1.0424571192154977
6,a6a,11220,123,20,26,AGP,0.3366202828691865,8.985604047775269,0.0
6,a6a,11220,123,20,26,IHT,0.3617333852614889,4.917616128921509,7.45814958882613
6,a6a,11220,123,20,26,PSS,0.34068955539395446,66.24363398551941,1.2085023480301744
6,a6a,11220,123,20,27,AGP,0.33876009688289943,4.90957498550415,0.0
6,a6a,11220,123,20,27,IHT,0.35997181941580964,5.967758893966675,6.259728639645753
6,a6a,11220,123,20,27,PSS,0.3405992120576978,269.387845993042,0.5427358345570832
7,a7a,16100,123,5,23,AGP,0.3778490677638907,0.7252688407897949,1.4053715951086572
7,a7a,16100,123,5,23,IHT,0.3839318061251075,7.630911111831665,3.0373966388120306
7,a7a,16100,123,5,23,PSS,0.3726110919458642,14.879738092422485,0.0
7,a7a,16100,123,5,24,AGP,0.37867290964087047,0.8259420394897461,1.6264208153674822
7,a7a,16100,123,5,24,IHT,0.38534221450658535,7.679908990859985,3.415824348665958
7,a7a,16100,123,5,24,PSS,0.37261105938977845,10.747467041015625,0.0
7,a7a,16100,123,5,25,AGP,0.39176571923042863,1.1628341674804688,5.139266386590765
7,a7a,16100,123,5,25,IHT,0.5043083325331832,7.09600305557251,35.334936023422244
7,a7a,16100,123,5,25,PSS,0.3726111028048854,9.656128168106079,0.0
7,a7a,16100,123,5,26,AGP,0.39293905950480484,0.7893929481506348,5.454093858448292
7,a7a,16100,123,5,26,IHT,0.5139969824788037,6.522874116897583,37.93446257216594
7,a7a,16100,123,5,26,PSS,0.3726110490678377,9.911468982696533,0.0
7,a7a,16100,123,5,27,AGP,0.3929390595241052,0.913438081741333,5.4540968708752455
7,a7a,16100,123,5,27,IHT,0.5175965420417203,7.362957954406738,38.90024406298606
7,a7a,16100,123,5,27,PSS,0.37261103843918686,15.559507131576538,0.0
8,a7a,16100,123,10,23,AGP,0.3547037393494677,5.121618986129761,0.0
8,a7a,16100,123,10,23,IHT,0.38389394291039736,7.380887985229492,8.227140901741867
8,a7a,16100,123,10,23,PSS,0.35649099586295574,24.26820397377014,0.5037310251478685
